Rank,Movie,Lifetime Gross,Year
183,Bohemian Rhapsody (2018),216668042,2018
184,Ant-Man and the Wasp (2018),216648740,2018
185,Madagascar 3: Europe's Most Wanted (2012),216391482,2012
186,Kung Fu Panda (2008),215434591,2008
187,Mission: Impossible II (2000),215409889,2000
188,A Star Is Born (2018),215288866,2018
189,X2: X-Men United (2003),214949694,2003
190,The Lorax (2012),214030500,2012
191,Solo: A Star Wars Story (2018),213767512,2018
192,Venom: Let There Be Carnage (2021),213550366,2021
193,Venom (2018),213515506,2018
194,Austin Powers in Goldmember (2002),213307889,2002
195,It Chapter Two (2019),211593228,2019
196,Back to the Future (1985),211406762,1985
197,300 (2007),210614939,2007
198,Coco (2017),210460015,2017
199,Fast Five (2011),209837675,2011
200,Mission: Impossible - Ghost Protocol (2011),209397903,2011
201,Wedding Crashers (2005),209255921,2005
202,Sherlock Holmes (2009),209028679,2009
203,Dawn of the Planet of the Apes (2014),208545589,2014
204,Batman Begins (2005),206852432,2005
205,Charlie and the Chocolate Factory (2005),206459076,2005
206,Ratatouille (2007),206445654,2007
207,Thor: The Dark World (2013),206362140,2013
208,Bad Boys for Life (2020),206305244,2020
209,Austin Powers: The Spy Who Shagged Me (1999),206040086,1999
210,Terminator 2: Judgment Day (1991),205881154,1991
211,The Amazing Spider-Man 2 (2014),202853933,2014
212,World War Z (2013),202807711,2013
213,The Mummy Returns (2001),202019785,2001
214,Armageddon (1998),201578182,1998
215,Cinderella (2015),201151353,2015
216,Ralph Breaks the Internet (2018),201091711,2018
217,Gone with the Wind (1939),200852579,1939
218,Tangled (2010),200821936,2010
219,Godzilla (2014),200676069,2014
220,Superman Returns (2006),200081192,2006
221,Spectre (2015),200074609,2015
222,Pearl Harbor (2001),198542554,2001
223,Monsters vs. Aliens (2009),198351526,2009
224,Happy Feet (2006),198000317,2006
225,Indiana Jones and the Last Crusade (1989),197171806,1989
226,Ice Age 3: Dawn of the Dinosaurs (2009),196573705,2009
227,Ice Age 2: The Meltdown (2006),195330621,2006
228,Mission: Impossible - Rogue Nation (2015),195042377,2015
229,Twilight (2008),193962473,2008
230,Men in Black II (2002),193735288,2002
231,Madagascar (2005),193595521,2005
232,22 Jump Street (2014),191719337,2014
233,Cars 2 (2011),191452396,2011
234,Teenage Mutant Ninja Turtles (2014),191204754,2014
235,Spider-Man: Into the Spider-Verse (2018),190241310,2018
236,Grease (1978),190071103,1978
237,Dunkirk (2017),189740665,2017
238,Wreck-It Ralph (2012),189422889,2012
239,A Quiet Place (2018),188024361,2018
240,Interstellar (2014),188020017,2014
241,The Polar Express (2004),187935490,2004
242,Gladiator (2000),187705427,2000
243,The Croods (2013),187168425,2013
244,Sherlock Holmes: A Game of Shadows (2011),186848418,2011
245,The Day After Tomorrow (2004),186740799,2004
246,Mr. & Mrs. Smith (2005),186336279,2005
247,Snow White and the Seven Dwarfs (1937),184925486,1937
248,Pitch Perfect 2 (2015),184296230,2015
249,Dances with Wolves (1990),184208848,1990
250,Batman Forever (1995),184069126,1995
251,The Fugitive (1993),183875760,1993
252,Black Widow (2021),183651655,2021
253,The Revenant (2015),183637894,2015
254,Ocean's Eleven (2001),183417150,2001
255,The Simpsons Movie (2007),183135014,2007
256,What Women Want (2000),182811707,2000
257,The Perfect Storm (2000),182618434,2000
258,Lincoln (2012),182207973,2012
259,Liar Liar (1997),181410615,1997
260,Jurassic Park III (2001),181171875,2001
261,Thor (2011),181030624,2011
262,Mission: Impossible (1996),180981856,1996
263,Top Gun (1986),180258178,1986
264,Ant-Man (2015),180202163,2015
265,Planet of the Apes (2001),180011740,2001
266,Madagascar: Escape 2 Africa (2008),180010950,2008
267,X-Men Origins: Wolverine (2009),179883157,2009
268,Indiana Jones and the Temple of Doom (1984),179870271,1984
269,Hitch (2005),179495555,2005
270,Men in Black 3 (2012),179020854,2012
271,Pretty Woman (1990),178406268,1990
272,Home (2015),177397510,2015
273,Night at the Museum: Battle of the Smithsonian (2009),177243721,2009
274,Tootsie (1982),177200000,1982
275,How to Train Your Dragon 2 (2014),177002924,2014
276,Rise of the Planet of the Apes (2011),176760185,2011
277,Captain America: The First Avenger (2011),176654505,2011
278,Elf (2003),176630408,2003
279,The Karate Kid (2010),176591618,2010
280,There's Something About Mary (1998),176484651,1998
281,Ice Age (2002),176387405,2002
282,The Bourne Supremacy (2004),176241941,2004
283,Get Out (2017),176040665,2017
284,The Lego Batman Movie (2017),175750384,2017
285,Us (2019),175084580,2019
286,The Boss Baby (2017),175003033,2017
287,Crocodile Dundee (1986),174803506,1986
288,Crazy Rich Asians (2018),174532921,2018
289,The Greatest Showman (2017),174340174,2017
290,Fast & Furious Presents: Hobbs & Shaw (2019),173956935,2019
291,Apollo 13 (1995),173837933,1995
292,Home Alone 2: Lost in New York (1992),173585516,1992
293,National Treasure (2004),173008894,2004
294,F9: The Fast Saga (2021),173005945,2021
295,Air Force One (1997),172956409,1997
296,Rain Man (1988),172825435,1988
297,Pirates of the Caribbean: Dead Men Tell No Tales (2017),172558876,2017
298,The Matrix (1999),172076928,1999
299,TRON: Legacy (2010),172062763,2010
300,Mary Poppins Returns (2018),171958438,2018
301,True Grit (2010),171243005,2010
302,Tarzan (1999),171091819,1999
303,John Wick: Chapter 3 - Parabellum (2019),171015687,2019
304,A Beautiful Mind (2001),170742341,2001
305,Chicago (2002),170687518,2002
306,The Help (2011),169708112,2011
307,Hotel Transylvania 2 (2015),169700110,2015
308,Hidden Figures (2016),169607287,2016
309,Bridesmaids (2011),169106725,2011
310,Quantum of Solace (2008),168368427,2008
