Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
405,Yum China Holdings,Food Services,"Hotels, Restaurants & Leisure","Plano, TX",$9.57,-3%,$0.44,$11.83,$26.52,275500
406,EnLink Midstream,Pipelines,Energy,"Dallas, TX",$9.54,43%,$0.36,$8.65,$5.10,1132
407,Continental Resources,"Mining, Crude-Oil Production",Energy,"Oklahoma City, OK",$9.47,(No previous year),$4.03,$20.88,,1404
408,Newell Brands,"Home Equipment, Furnishings",Household Products,"Atlanta, GA",$9.46,-11%,$0.20,$13.26,$5.14,28000
409,Graphic Packaging Holding,"Packaging, Containers",Materials,"Atlanta, GA",$9.44,32%,$0.52,$10.33,$7.83,24000
410,Olin,Chemicals,Chemicals,"Clayton, MO",$9.38,5%,$1.33,$8.04,$7.26,7780
411,Fifth Third Bancorp,Commercial Banks,Financials,"Cincinnati, OH",$9.35,12%,$2.45,$207.45,$18.14,19319
412,Thrivent Financial for Lutherans,"Insurance: Life, Health (Mutual)",Financials,"Minneapolis, MN",$9.35,-9%,$1.08,$110.10,,3692
413,CenterPoint Energy,Utilities: Gas and Electric,Energy,"Houston, TX",$9.32,12%,$1.06,$38.55,$18.59,8986
414,Erie Insurance Group,Insurance: Property and Casualty (Mutual),Financials,"Erie, PA",$9.30,-3%,$0.58,$26.60,,5997
415,CommScope Holding,Network and Other Communications Equipment,Technology,"Hickory, NC",$9.23,7%,$1.29,$11.68,$1.34,30000
416,KLA,Semiconductors and Other Electronic Components,Technology,"Milpitas, CA",$9.21,33%,$3.32,$12.60,$55.28,14140
417,JetBlue Airways,Airlines,Transportation,"Long Island City, NY",$9.16,(No previous year),$0.36,$13.04,$2.38,18785
418,Motorola Solutions,Network and Other Communications Equipment,Technology,"Chicago, IL",$9.11,12%,$1.36,$12.81,$47.92,20000
419,Citizens Financial Group,Commercial Banks,Financials,"Providence, RI",$9.07,30%,$2.07,$226.73,$14.71,18889
