Rank,Name,Industry,Sector,Headquarters,Revenue,% Change,Profit,Asset,Market Value,Employees
254,Thor Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,"Elkhart, IN",$16.31,32%,$1.14,$7.41,$4.26,32000
255,DXC Technology,Information Technology Services,Technology,"Ashburn, VA",$16.26,-8%,$0.72,$20.14,$5.82,130000
256,Viatris,Pharmaceuticals,Health Care,"Canonsburg, PA",$16.26,-9%,$2.08,$50.02,$11.51,37000
257,Reinsurance Group of America,"Insurance: Life, Health (Stock)",Financials,"Chesterfield, MO",$16.26,-2%,$0.62,$84.71,$8.88,3800
258,AutoZone,Specialty Retailers: Other,Retailing,"Memphis, TN",$16.25,11%,$2.43,$15.28,$45.22,90720
259,PulteGroup,Homebuilders,Engineering & Construction,"Atlanta, GA",$16.23,17%,$2.62,$14.80,$13.07,6524
260,Illinois Tool Works,Industrial Machinery,Industrials,"Glenview, IL",$15.93,10%,$3.03,$15.42,$74.21,46000
261,Parker-Hannifin,Industrial Machinery,Industrials,"Cleveland, OH",$15.86,11%,$1.32,$25.94,$43.11,55090
262,BorgWarner,Motor Vehicles & Parts,Motor Vehicles & Parts,"Auburn Hills, MI",$15.80,6%,$0.94,$16.99,$11.48,52700
263,Westlake,Chemicals,Chemicals,"Houston, TX",$15.79,34%,$2.25,$20.55,$14.81,15920
264,Consolidated Edison,Utilities: Gas and Electric,Energy,"New York, NY",$15.67,15%,$1.66,$69.06,$33.97,14319
265,Gap,Specialty Retailers: Apparel,Retailing,"San Francisco, CA",$15.62,-6%,$0.20,$11.39,$3.69,95000
266,Opendoor Technologies,Internet Services and Retailing,Technology,"Tempe, AZ",$15.57,94%,$1.35,$6.61,$1.13,2570
267,Nordstrom,General Merchandisers,Retailing,"Seattle, WA",$15.53,5%,$0.24,$8.74,$2.61,60000
268,Asbury Automotive Group,"Automotive Retailing, Services",Retailing,"Duluth, GA",$15.43,57%,$1.00,$8.02,$4.56,13000
269,Ball,"Packaging, Containers",Materials,"Westminster, CO",$15.35,11%,$0.72,$19.91,$17.33,21000
270,Kellogg,Food Consumer Products,"Food, Beverages & Tobacco","Battle Creek, MI",$15.32,8%,$0.96,$18.50,$22.94,30000
271,Xcel Energy,Utilities: Gas and Electric,Energy,"Minneapolis, MN",$15.31,14%,$1.74,$61.19,$37.08,11982
272,W.W. Grainger,Wholesalers: Diversified,Wholesalers,"Lake Forest, IL",$15.23,17%,$1.55,$7.59,$34.62,24500
273,Discover Financial Services,Commercial Banks,Financials,"Riverwoods, IL",$15.20,15%,$4.39,$131.63,$25.64,20200
274,Baxter International,Medical Products and Equipment,Health Care,"Deerfield, IL",$15.11,18%,$2.43,$28.29,$20.50,60000
275,Southwestern Energy,"Mining, Crude-Oil Production",Energy,"Spring, TX",$15.00,125%,$1.85,$12.93,$5.51,1118
276,DCP Midstream,Pipelines,Energy,"Denver, CO",$14.99,40%,$1.05,$13.33,$8.70,1910
277,Jacobs Solutions,Engineering & Construction,Engineering & Construction,"Dallas, TX",$14.92,6%,$0.64,$14.66,$14.89,58350
278,Laboratory Corp. of America,Health Care: Pharmacy and Other Services,Health Care,"Burlington, NC",$14.88,-8%,$1.28,$20.16,$20.30,75200
279,CSX,Railroads,Transportation,"Jacksonville, FL",$14.85,19%,$4.17,$41.91,$61.33,22542
280,J.B. Hunt Transport Services,"Trucking, Truck Leasing",Transportation,"Lowell, AR",$14.81,22%,$0.97,$7.79,$18.21,37151
281,Guardian Life Ins. Co. of America,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",$14.65,0%,$0.07,$91.62,,8025
282,Jackson Financial,"Insurance: Life, Health (Stock)",Financials,"Lansing, MI",$14.55,64%,$5.70,$311.06,$3.08,3435
283,Fidelity National Information Services,Financial Data Services,Business Services,"Jacksonville, FL",$14.53,5%,$16.72,$63.28,$32.16,69000
284,Berry Global Group,"Packaging, Containers",Materials,"Evansville, IN",$14.50,5%,$0.77,$16.96,$7.15,46000
285,Sempra,Utilities: Gas and Electric,Energy,"San Diego, CA",$14.44,12%,$2.14,$78.57,$47.56,15785
286,IQVIA Holdings,Health Care: Pharmacy and Other Services,Health Care,"Durham, NC",$14.41,4%,$1.09,$25.34,$37.02,86000
287,O'Reilly Automotive,Specialty Retailers: Other,Retailing,"Springfield, MO",$14.41,8%,$2.17,$12.63,$52.27,79679
288,Leidos Holdings,Information Technology Services,Technology,"Reston, VA",$14.40,5%,$0.68,$13.07,$12.63,45000
289,Ameriprise Financial,Diversified Financials,Financials,"Minneapolis, MN",$14.35,7%,$2.56,$158.47,$32.23,13500
290,Omnicom Group,"Advertising, Marketing",Business Services,"New York, NY",$14.29,0%,$1.32,$27.00,$19.00,74200
291,Tractor Supply,Specialty Retailers: Other,Retailing,"Brentwood, TN",$14.20,12%,$1.09,$8.49,$25.83,36500
292,Corning,"Electronics, Electrical Equipment",Industrials,"Corning, NY",$14.19,1%,$1.32,$29.50,$29.89,57500
293,Ecolab,Chemicals,Chemicals,"St. Paul, MN",$14.19,11%,$1.09,$21.46,$47.12,47000
294,Icahn Enterprises,Diversified Financials,Financials,"Sunny Isles Beach, FL",$14.10,24%,$0.18,$27.91,$18.28,20041
295,Farmers Insurance Exchange,Insurance: Property and Casualty (Mutual),Financials,"Woodland Hills, CA",$14.09,0%,$0.31,$22.98,,11344
296,Keurig Dr Pepper,Beverages,"Food, Beverages & Tobacco","Burlington, MA",$14.06,11%,$1.44,$51.84,$49.62,28000
297,Loews,Insurance: Property and Casualty (Stock),Financials,"New York, NY",$14.04,-4%,$1.01,$75.49,$13.40,12050
298,Equitable Holdings,"Insurance: Life, Health (Stock)",Financials,"New York, NY",$14.02,27%,$1.78,$253.47,$9.19,10250
299,Sonic Automotive,"Automotive Retailing, Services",Retailing,"Charlotte, NC",$14.00,13%,$0.09,$4.98,$1.93,10300
300,Fox,Entertainment,Media,"New York, NY",$13.97,8%,$1.20,$22.18,$17.55,10600
301,American Family Insurance Group,Insurance: Property and Casualty (Stock),Financials,"Madison, WI",$13.81,-5%,$1.90,$36.09,,12990
302,Entergy,Utilities: Gas and Electric,Energy,"New Orleans, LA",$13.76,17%,$1.10,$58.60,$22.85,11707
303,Fluor,Engineering & Construction,Engineering & Construction,"Irving, TX",$13.74,-3%,$0.14,$6.83,$4.39,39576
304,Vistra,Energy,Energy,"Irving, TX",$13.73,14%,$1.23,$32.79,$9.15,4910
305,State Street,Commercial Banks,Financials,"Boston, MA",$13.69,14%,$2.77,$301.45,$26.07,42226
306,Otis Worldwide,Industrial Machinery,Industrials,"Farmington, CT",$13.68,-4%,$1.25,$9.82,$35.02,69000
307,Peter Kiewit Sons',Engineering & Construction,Engineering & Construction,"Omaha, NE",$13.66,12%,$0.71,$7.22,,25700
308,Carvana,"Automotive Retailing, Services",Retailing,"Tempe, AZ",$13.60,6%,$1.59,$8.70,$1.76,16600
309,Republic Services,Waste Management,Business Services,"Phoenix, AZ",$13.51,20%,$1.49,$29.05,$42.76,40000
310,AECOM,Engineering & Construction,Engineering & Construction,"Dallas, TX",$13.50,-4%,$0.31,$11.14,$11.72,50000
311,Universal Health Services,Health Care: Medical Facilities,Health Care,"King of Prussia, PA",$13.40,6%,$0.68,$13.49,$8.98,82500
312,Pacific Life,"Insurance: Life, Health (Stock)",Financials,"Newport Beach, CA",$13.36,-4%,$0.76,$199.32,,3950
313,VMware,Computer Software,Technology,"Palo Alto, CA",$13.35,(No previous year),$1.31,$31.24,$53.50,38300
314,Western & Southern Financial Group,"Insurance: Life, Health (Mutual)",Financials,"Cincinnati, OH",$13.16,39%,$0.31,$69.15,,2594
