id,continent
50763,North America
22146,Antarctica
4767,Antarctica
51221,Africa
50219,Antarctica
6659,North America
53918,Africa
39234,Africa
24647,Antarctica
56049,Africa
24495,Antarctica
14649,North America
49467,Africa
20923,Antarctica
26324,Antarctica
21044,Antarctica
46617,Antarctica
29313,Antarctica
7182,Asia
15490,North America
39589,Africa
20543,Antarctica
1837,Antarctica
46872,Antarctica
54884,Africa
45730,Africa
46769,Antarctica
5426,Australia
47830,Antarctica
57293,South America
3774,Antarctica
8160,Antarctica
11870,Asia
6282,Africa
52014,North America
25458,Antarctica
25671,Antarctica
9106,Antarctica
10479,Antarctica
5843,Africa
55353,Antarctica
1353,Antarctica
46799,Antarctica
25629,Antarctica
38623,Africa
39378,Africa
39894,Africa
8847,Antarctica
2667,Antarctica
10259,Antarctica
21603,Antarctica
28962,Antarctica
2073,Antarctica
16163,Antarctica
52375,South America
29952,Antarctica
11598,Africa
7791,Africa
46566,Antarctica
56211,Africa
13036,Antarctica
961,Antarctica
54200,Africa
21966,Antarctica
11863,North America
30088,Antarctica
50034,Antarctica
39871,Africa
11707,Africa
53895,Africa
30714,Antarctica
52781,Asia
15975,Antarctica
4254,Antarctica
24039,Asia
11901,North America
57028,Africa
12227,Europe
49972,Antarctica
22570,Australia
14654,North America
56764,Africa
2432,Antarctica
1745,Antarctica
12092,Asia
16684,Antarctica
26899,Antarctica
22481,Antarctica
52137,Africa
15428,North America
387,Africa
23391,Asia
30472,North America
7078,Asia
22047,Antarctica
5809,Africa
26481,Antarctica
11334,Antarctica
19511,Antarctica
56486,Asia
44885,Africa
22192,Antarctica
51595,Asia
16409,Antarctica
51066,Africa
26176,Antarctica
18114,South America
3612,Antarctica
1133,Antarctica
56141,Africa
14368,Antarctica
23623,North America
12045,South America
6917,Asia
23291,Asia
21700,Antarctica
56603,South America
50544,Antarctica
51910,Asia
56100,Africa
52209,Africa
3594,Antarctica
40006,Africa
22054,Antarctica
19348,Antarctica
40401,Africa
56733,Africa
24789,Africa
21476,Antarctica
9163,Antarctica
50575,Antarctica
27889,Antarctica
56631,Africa
49696,Africa
18779,Antarctica
56911,Africa
53204,Africa
26945,Antarctica
18034,Europe
756,Antarctica
15809,Antarctica
56838,Africa
24298,Antarctica
51912,Asia
55148,Africa
26862,Antarctica
3540,Antarctica
34521,Asia
23478,North America
15788,Antarctica
14586,Antarctica
52025,Africa
7291,Asia
31364,North America
13218,Antarctica
20892,Antarctica
140,Africa
39798,Africa
33637,Africa
16815,Antarctica
29436,Antarctica
27140,Antarctica
13689,Antarctica
6147,Africa
49996,Antarctica
