URI,Album,Song Name,Artist,Disc Number,Track Number,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,The Chainsmokers; Halsey,1,1,86,False,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,244960,4
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith; Kim Petras,1,1,86,False,0.7140000000000001,0.47200000000000003,2,-7.375,1,0.0864,0.013000000000000001,4.51e-06,0.266,0.23800000000000002,131.121,156943,4
2gMXnyrvIjhVBUZwvLZDMP,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,Lewis Capaldi,1,13,86,False,0.45899999999999996,0.575,3,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,4
0fea68AdmYNygeTGI4RC18,OASIS,LA CANCIÓN,J Balvin; Bad Bunny,1,5,86,False,0.754,0.6459999999999999,7,-5.795,1,0.317,0.152,1.85e-05,0.10800000000000001,0.429,176.08900000000003,242573,4
5oO3drDxtziYU2H1X23ZIp,ANTI (Deluxe),Love On The Brain,Rihanna,1,11,86,True,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.0800000000000002e-05,0.0789,0.37799999999999995,172.00599999999997,224000,3
3B54sVLJ402zGa6Xm4YGNe,Jungle Rules,Unforgettable,French Montana; Swae Lee,1,2,86,True,0.726,0.769,6,-5.043,1,0.12300000000000001,0.0293,0.0101,0.10400000000000001,0.733,97.985,233902,4
4cktbXiXOapiLBMprHFErI,JORDI (Deluxe),Memories,Maroon 5,1,11,86,False,0.775,0.327,11,-7.2410000000000005,1,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,4
2DlHlPMa4M17kufBvI2lEN,Toxicity,Chop Suey!,System Of A Down,1,6,86,False,0.41700000000000004,0.934,7,-3.908,0,0.11900000000000001,0.000278,0.0015,0.132,0.287,127.066,210240,4
0GjEhVFGZW8afUYGChu3Rr,Arrival,Dancing Queen,ABBA,1,2,86,False,0.5429999999999999,0.87,9,-6.513999999999999,1,0.0428,0.358,0.0009390000000000001,0.792,0.754,100.804,230400,4
3GCdLUSnKSMJhs4Tj6CV3s,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),Kendrick Lamar; SZA,1,2,86,True,0.698,0.633,8,-4.946000000000001,1,0.0597,0.0605,0.000194,0.0926,0.552,96.92399999999999,232187,4
