comments,duration,event,main_speaker,title,published_date,ratings,views
108,1114,TED2006,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1156119060,"[{'id': 9, 'name': 'Ingenious', 'count': 117}, {'id': 3, 'name': 'Courageous', 'count': 52}, {'id': 1, 'name': 'Beautiful', 'count': 22}, {'id': 7, 'name': 'Funny', 'count': 12}, {'id': 11, 'name': 'Longwinded', 'count': 30}, {'id': 8, 'name': 'Informative', 'count': 320}, {'id': 10, 'name': 'Inspiring', 'count': 258}, {'id': 22, 'name': 'Fascinating', 'count': 111}, {'id': 2, 'name': 'Confusing', 'count': 8}, {'id': 21, 'name': 'Unconvincing', 'count': 26}, {'id': 23, 'name': 'Jaw-dropping', 'count': 26}, {'id': 24, 'name': 'Persuasive', 'count': 120}, {'id': 25, 'name': 'OK', 'count': 69}, {'id': 26, 'name': 'Obnoxious', 'count': 6}]",966439
185,1136,TED2004,Ze Frank,Ze Frank: Nerdcore comedy,1156464660,"[{'id': 7, 'name': 'Funny', 'count': 2799}, {'id': 9, 'name': 'Ingenious', 'count': 387}, {'id': 3, 'name': 'Courageous', 'count': 75}, {'id': 1, 'name': 'Beautiful', 'count': 74}, {'id': 21, 'name': 'Unconvincing', 'count': 137}, {'id': 2, 'name': 'Confusing', 'count': 203}, {'id': 11, 'name': 'Longwinded', 'count': 266}, {'id': 10, 'name': 'Inspiring', 'count': 196}, {'id': 8, 'name': 'Informative', 'count': 61}, {'id': 22, 'name': 'Fascinating', 'count': 177}, {'id': 23, 'name': 'Jaw-dropping', 'count': 80}, {'id': 26, 'name': 'Obnoxious', 'count': 239}, {'id': 25, 'name': 'OK', 'count': 450}, {'id': 24, 'name': 'Persuasive', 'count': 20}]",6141440
50,1006,TED2006,Mena Trott,Mena Trott: Meet the founder of the blog revolution,1156464660,"[{'id': 8, 'name': 'Informative', 'count': 82}, {'id': 7, 'name': 'Funny', 'count': 106}, {'id': 10, 'name': 'Inspiring', 'count': 86}, {'id': 3, 'name': 'Courageous', 'count': 33}, {'id': 1, 'name': 'Beautiful', 'count': 54}, {'id': 11, 'name': 'Longwinded', 'count': 119}, {'id': 21, 'name': 'Unconvincing', 'count': 67}, {'id': 2, 'name': 'Confusing', 'count': 40}, {'id': 22, 'name': 'Fascinating', 'count': 34}, {'id': 9, 'name': 'Ingenious', 'count': 9}, {'id': 25, 'name': 'OK', 'count': 87}, {'id': 24, 'name': 'Persuasive', 'count': 23}, {'id': 26, 'name': 'Obnoxious', 'count': 41}, {'id': 23, 'name': 'Jaw-dropping', 'count': 3}]",518624
556,1407,TED2006,Helen Fisher,"Helen Fisher: Why we love, why we cheat",1157501460,"[{'id': 7, 'name': 'Funny', 'count': 780}, {'id': 3, 'name': 'Courageous', 'count': 177}, {'id': 1, 'name': 'Beautiful', 'count': 864}, {'id': 9, 'name': 'Ingenious', 'count': 345}, {'id': 21, 'name': 'Unconvincing', 'count': 249}, {'id': 8, 'name': 'Informative', 'count': 2591}, {'id': 10, 'name': 'Inspiring', 'count': 1083}, {'id': 22, 'name': 'Fascinating', 'count': 2106}, {'id': 11, 'name': 'Longwinded', 'count': 245}, {'id': 2, 'name': 'Confusing', 'count': 115}, {'id': 24, 'name': 'Persuasive', 'count': 1513}, {'id': 25, 'name': 'OK', 'count': 394}, {'id': 23, 'name': 'Jaw-dropping', 'count': 207}, {'id': 26, 'name': 'Obnoxious', 'count': 111}]",9260764
117,1225,TED2004,Eve Ensler,Eve Ensler: Happiness in body and soul,1157501460,"[{'id': 3, 'name': 'Courageous', 'count': 654}, {'id': 8, 'name': 'Informative', 'count': 154}, {'id': 7, 'name': 'Funny', 'count': 109}, {'id': 11, 'name': 'Longwinded', 'count': 31}, {'id': 21, 'name': 'Unconvincing', 'count': 27}, {'id': 9, 'name': 'Ingenious', 'count': 44}, {'id': 1, 'name': 'Beautiful', 'count': 342}, {'id': 2, 'name': 'Confusing', 'count': 13}, {'id': 10, 'name': 'Inspiring', 'count': 789}, {'id': 22, 'name': 'Fascinating', 'count': 144}, {'id': 24, 'name': 'Persuasive', 'count': 97}, {'id': 23, 'name': 'Jaw-dropping', 'count': 97}, {'id': 25, 'name': 'OK', 'count': 26}, {'id': 26, 'name': 'Obnoxious', 'count': 43}]",1131864
184,1140,TEDGlobal 2005,David Deutsch,David Deutsch: Chemical scum that dream of distant quasars,1158019860,"[{'id': 9, 'name': 'Ingenious', 'count': 269}, {'id': 3, 'name': 'Courageous', 'count': 92}, {'id': 7, 'name': 'Funny', 'count': 131}, {'id': 2, 'name': 'Confusing', 'count': 42}, {'id': 1, 'name': 'Beautiful', 'count': 91}, {'id': 8, 'name': 'Informative', 'count': 446}, {'id': 10, 'name': 'Inspiring', 'count': 397}, {'id': 22, 'name': 'Fascinating', 'count': 515}, {'id': 11, 'name': 'Longwinded', 'count': 45}, {'id': 21, 'name': 'Unconvincing', 'count': 49}, {'id': 24, 'name': 'Persuasive', 'count': 1234}, {'id': 25, 'name': 'OK', 'count': 73}, {'id': 23, 'name': 'Jaw-dropping', 'count': 139}, {'id': 26, 'name': 'Obnoxious', 'count': 21}]",1096862
507,1316,TEDGlobal 2005,Richard Dawkins,Richard Dawkins: Why the universe seems so strange,1158019860,"[{'id': 1, 'name': 'Beautiful', 'count': 333}, {'id': 3, 'name': 'Courageous', 'count': 112}, {'id': 7, 'name': 'Funny', 'count': 127}, {'id': 9, 'name': 'Ingenious', 'count': 417}, {'id': 2, 'name': 'Confusing', 'count': 42}, {'id': 11, 'name': 'Longwinded', 'count': 91}, {'id': 8, 'name': 'Informative', 'count': 653}, {'id': 10, 'name': 'Inspiring', 'count': 674}, {'id': 22, 'name': 'Fascinating', 'count': 1281}, {'id': 23, 'name': 'Jaw-dropping', 'count': 324}, {'id': 21, 'name': 'Unconvincing', 'count': 41}, {'id': 24, 'name': 'Persuasive', 'count': 367}, {'id': 25, 'name': 'OK', 'count': 93}, {'id': 26, 'name': 'Obnoxious', 'count': 39}]",2885999
95,1275,TED2004,Steven Levitt,Steven Levitt: The freakonomics of crack dealing,1158624660,"[{'id': 7, 'name': 'Funny', 'count': 485}, {'id': 10, 'name': 'Inspiring', 'count': 43}, {'id': 21, 'name': 'Unconvincing', 'count': 19}, {'id': 11, 'name': 'Longwinded', 'count': 35}, {'id': 9, 'name': 'Ingenious', 'count': 175}, {'id': 1, 'name': 'Beautiful', 'count': 12}, {'id': 8, 'name': 'Informative', 'count': 532}, {'id': 3, 'name': 'Courageous', 'count': 93}, {'id': 22, 'name': 'Fascinating', 'count': 404}, {'id': 25, 'name': 'OK', 'count': 44}, {'id': 23, 'name': 'Jaw-dropping', 'count': 61}, {'id': 24, 'name': 'Persuasive', 'count': 109}, {'id': 2, 'name': 'Confusing', 'count': 7}, {'id': 26, 'name': 'Obnoxious', 'count': 17}]",2863214
355,1050,TED2004,Malcolm Gladwell,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",1158624660,"[{'id': 7, 'name': 'Funny', 'count': 1668}, {'id': 9, 'name': 'Ingenious', 'count': 1127}, {'id': 1, 'name': 'Beautiful', 'count': 333}, {'id': 11, 'name': 'Longwinded', 'count': 190}, {'id': 2, 'name': 'Confusing', 'count': 80}, {'id': 3, 'name': 'Courageous', 'count': 87}, {'id': 21, 'name': 'Unconvincing', 'count': 115}, {'id': 8, 'name': 'Informative', 'count': 2004}, {'id': 10, 'name': 'Inspiring', 'count': 1276}, {'id': 22, 'name': 'Fascinating', 'count': 2082}, {'id': 24, 'name': 'Persuasive', 'count': 1014}, {'id': 23, 'name': 'Jaw-dropping', 'count': 290}, {'id': 25, 'name': 'OK', 'count': 361}, {'id': 26, 'name': 'Obnoxious', 'count': 51}]",7023562
970,1276,TED2004,Dan Gilbert,Dan Gilbert: The surprising science of happiness,1159229460,"[{'id': 7, 'name': 'Funny', 'count': 1728}, {'id': 9, 'name': 'Ingenious', 'count': 1166}, {'id': 2, 'name': 'Confusing', 'count': 241}, {'id': 1, 'name': 'Beautiful', 'count': 444}, {'id': 21, 'name': 'Unconvincing', 'count': 174}, {'id': 11, 'name': 'Longwinded', 'count': 169}, {'id': 3, 'name': 'Courageous', 'count': 248}, {'id': 8, 'name': 'Informative', 'count': 3899}, {'id': 10, 'name': 'Inspiring', 'count': 3554}, {'id': 22, 'name': 'Fascinating', 'count': 4303}, {'id': 24, 'name': 'Persuasive', 'count': 2355}, {'id': 23, 'name': 'Jaw-dropping', 'count': 1047}, {'id': 25, 'name': 'OK', 'count': 439}, {'id': 26, 'name': 'Obnoxious', 'count': 67}]",14689301
